survey_id,Photographer,Location,Comments,Species,Age,Image Usable?,Sex,state,latitude,longitude,direct_link,visible_link,search_name,search_query,search_result_rank,search_result_id
6140,Sue Robinson,"{""latitude"":57.47779,""longitude"":-4.0957109999999375}",Says HYBRID? Check! Location in Scotland from website,Hybrid,Adult,yes,,Scotland,57.47779,-4.095711,http://thumb101.shutterstock.com/display_pic_with_logo/376810/265473683/stock-photo-hybrid-carrion-and-hooded-crow-seen-at-culloden-battlefield-in-scotland-265473683.jpg,http://www.shutterstock.com/s/hooded-crow/search.html,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",11,16103
6141,Niki Odolphie,"{""latitude"":55.942082,""longitude"":-3.269362000000001}",Need to email Edinburgh zoo for original location!,Carrion crow,Adult,,,Scotland,55.942082,-3.269362,"http://upload.wikimedia.org/wikipedia/commons/e/e2/Corvus_corone_-Edinburgh_Zoo,_Scotland-8.jpg","http://commons.wikimedia.org/wiki/File:Corvus_corone_-Edinburgh_Zoo,_Scotland-8.jpg",Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",1,16493
6142,David Chapman,"{""latitude"":55.5806165,""longitude"":-5.210857300000043}",Location in Scotland from website,Hooded crow,Adult,yes,Male,Scotland,55.5806165,-5.2108573,http://c8.alamy.com/comp/AE0W0T/hooded-crow-corvus-corone-cornix-arran-scotland-AE0W0T.jpg,http://www.alamy.com/stock-photo-hooded-crow-corvus-corone-cornix-arran-scotland-13530839.html,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",2,16494
6143,David Chapman,,Duplicate individual by David Chapman,Hooded crow,,no,,,,,http://c8.alamy.com/comp/AE0W0W/hooded-crow-corvus-corone-cornix-in-flight-arran-scotland-AE0W0W.jpg,http://www.alamy.com/stock-photo-hooded-crow-corvus-corone-cornix-in-flight-arran-scotland-13530840.html,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",3,16495
6144,BTO,"{""latitude"":55.378051,""longitude"":-3.43597299999999}",Emailed British Trust for Ornithology info@bto.org for location - do not know,Carrion crow,Adult,no,,Scotland,55.378051,-3.435973,http://www.bto.org/sites/default/files/shared_images/gbw/species/carrion-crow/carrion-crow-birdscrowjohnharding300x205.jpg,http://www.bto.org/volunteer-surveys/gbw/gardens-wildlife/garden-birds/a-z-garden-birds/carrion-crow,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",5,16497
6145,Tony Keene,"{""latitude"":50.933551,""longitude"":-1.3720459999999548}",Location in Eng from website,Carrion crow,Adult,no,,England,50.933551,-1.372046,http://www.tonykeenebirds.co.uk/bbirds/carrioncrow_files/carrion_crow_6.jpg,http://www.tonykeenebirds.co.uk/bbirds/carrioncrow.html,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",6,16498
6146,Tony Keene,"{""latitude"":50.939671,""longitude"":-1.3693510000000515}",Location in Eng from website,Carrion crow,Adult,no,,England,50.939671,-1.369351,http://www.tonykeenebirds.co.uk/bbirds/carrioncrow_files/carrion_crow_4.jpg,http://www.tonykeenebirds.co.uk/bbirds/carrioncrow.html,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",7,16499
6147,Manfred Danegger,,Emailed sales@photoshot.com re. Manfred,Carrion crow,Adult,,,,,,http://cdn1.arkive.org/media/70/708176BE-D239-4448-A23D-9E0CBFCF922F/Presentation.Large/Carrion-crow.jpg,http://www.arkive.org/carrion-crow/corvus-corone/,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",8,16500
6148,Alan Drummie,"{""latitude"":56.49067119999999,""longitude"":-4.2026458000000275}",Emailed World Birder John@worldbirder.com,Carrion crow,Adult,,,Scotland,56.4906712,-4.2026458,http://www.worldbirder.com/photo/photos/6632.jpg,http://www.worldbirder.com/photonew/xpages/photo.asp?PhotoID=6632,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",9,16501
6149,Dick Daniels,"{""latitude"":55.637652,""longitude"":-4.78348989999995}",Emailed Dick Daniels for location in Scotland - replied,Carrion crow,Adult,yes,,Scotland,55.637652,-4.7834899,http://upload.wikimedia.org/wikipedia/commons/e/e3/Carrion_Crow_RWD3.jpg,http://commons.wikimedia.org/wiki/File:Carrion_Crow_RWD3.jpg,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",10,16502
6150,,,Already email BTO,Carrion crow,Adult,,,,,,http://i.ytimg.com/vi/qi1p0yh4X3I/hqdefault.jpg,http://www.bto.org/taxonomy/term/245,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",11,16503
6151,Tony Keene,"{""latitude"":50.933551,""longitude"":-1.3720459999999548}",Location in Eng from website,Carrion crow,Adult,no,,England,50.933551,-1.372046,http://www.tonykeenebirds.co.uk/bbirds/carrioncrow_files/carrion_crow_5.jpg,http://www.tonykeenebirds.co.uk/bbirds/carrioncrow.html,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",12,16504
6152,RSPB,"{""latitude"":56.49067119999999,""longitude"":-4.2026458000000275}",No exact location in Scotland; Already emailed RSPB - waiting for reply,Hooded crow,Adult,,,Scotland,56.4906712,-4.2026458,http://www.rspb.org.uk/community/resized-image.ashx/__size/550x0/__key/telligent-evolution-components-attachments/13-74498-00-00-00-41-92-52/IMG_5F00_9029aa.jpg,http://www.rspb.org.uk/community/my_gallery/m/da9ae794-1657-4ee0-8ae2-a2d920c61cf0/419252.aspx,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",12,16104
6153,Elizabeth Barrett,"{""latitude"":52.52000659999999,""longitude"":13.404953999999975}","Emailed Animal Photos web@animalphotos.me - replied with location in Germany, and with locations of all other crows on website!",Hooded crow,Adult,yes,,Germany,52.5200066,13.404954,http://www.animalphotos.me/bird/bird-hood_files/hooded_crow.jpg,http://www.animalphotos.me/bird/bird-hood.htm,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",13,16105
6154,Brian Anderson,"{""latitude"":56.411179,""longitude"":-5.475558999999976}",Location in Scotland from blog on website,Hooded crow,Adult,yes,,Scotland,56.411179,-5.475559,http://2.bp.blogspot.com/-OVZXrg8LU_w/UaTbsXL-2PI/AAAAAAAAFnA/8PvZWaBhh9Q/s1600/Hooded+Crow.jpg,http://briansbirding.blogspot.com/2013/05/scotland-2013-trip-report.html,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",14,16106
6155,Sandra Standbridge,"{""latitude"":57.573904,""longitude"":-4.0940180000000055}",Messaged photographer on Flickr - replied with location in Scotland and extra photo!,Hooded crow,Adult,yes,,Scotland,57.573904,-4.094018,http://cache3.asset-cache.net/gc/522460959-hooded-crow-gettyimages.jpg?v=1&c=IWSAsset&k=2&d=HVXBumfm08I5sO4/rHIuskFHWk9pG7NA/6X1GxYL8Ie9lJvq9iiyfeGVfFlncWzqOHm0YCNsJdSJ7rFoHuEn9A==,http://www.gettyimages.com/detail/photo/hooded-crow-royalty-free-image/522460959,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",15,16107
6156,Arthur Grosset,"{""latitude"":60.616667,""longitude"":-0.8666670000000067}","Location Fetlar Shetland, Scotland, May 2004 from tag; several other photos with location on website!",Hooded crow,Adult,yes,,Scotland,60.616667,-0.866667,http://www.arthurgrosset.com/europebirds/photos/corcornix10342.jpg,http://www.arthurgrosset.com/europebirds/hoodedcrow.html,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",18,16110
6157,Dick Daniels,"{""latitude"":55.63978352011436,""longitude"":-4.796536164648387}",Emailed Dick - replied with location in Scotland,Carrion crow,Adult,yes,,Scotland,55.63978352,-4.796536165,"http://carolinabirds.org/Daniels/GreatBritain/Photos/crow, carrion 05-29 SCOT.jpg",http://carolinabirds.org/HTML/EU_Corvidae_Crow.htm,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",19,16111
6158,Bob Fabry,"{""latitude"":30.04852,""longitude"":31.227980000000002}","Location (Nile, Egypt) from website",Hooded crow,Adult,no,,Egypt,30.04852,31.22798,http://upload.wikimedia.org/wikipedia/commons/6/63/Corvus_cornix_-Egypt-8.jpg,http://en.wikipedia.org/wiki/Hooded_crow,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",20,16112
6159,John Haslam,"{""latitude"":57.87907,""longitude"":-4.028025999999954}",Location in Scotland from website,Hooded crow,Adult,yes,,Scotland,57.87907,-4.028026,http://upload.wikimedia.org/wikipedia/commons/9/94/Hooded_Crow_-_Corvus_cornix.jpg,http://commons.wikimedia.org/wiki/File:Hooded_Crow_-_Corvus_cornix.jpg,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",22,16114
6160,East Ayton Birding,"{""latitude"":56.363832,""longitude"":-6.019933000000037}",Location in Scotland from website,Hooded crow,Adult,yes,,Scotland,56.363832,-6.019933,http://www.eastaytonbirding.com/img/s11/v30/p726089609-3.jpg,http://www.eastaytonbirding.com/p112949807/h2B473F89,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",23,16115
6161,JL Copner,"{""latitude"":53.263836017044255,""longitude"":-9.055756955541938}",FB messaged JL Copner - replied with location in Ireland,Hooded crow,Adult,no,,Ireland,53.26383602,-9.055756956,http://2.bp.blogspot.com/-Pg5Pb2ePNeU/UcDWFLWx-JI/AAAAAAAAY-E/mYMQ6RjEB3Q/s1600/hooded+crow-1307.JPG,http://www.alifeattheshoreline.com/2011/06/hooded-crow.html,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",24,16116
6162,Bob Falconer,"{""latitude"":56.49067119999999,""longitude"":-4.2026458000000275}",Emailed Bob Falconer B.Falconer@norlite.co.uk for location in Scotland,Hooded crow,Adult,,,Scotland,56.4906712,-4.2026458,http://norlite.co.uk/wordpress/wp-content/uploads/2013/05/RJF-28Mar2013-3887-640.jpg,http://norlite.co.uk/?p=315,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",25,16117
6163,Mull Eagle Watch,"{""latitude"":56.4362276392426,""longitude"":-5.959276712500014}",Location in Scotland on website,Hooded crow,Adult,yes,,Scotland,56.43622764,-5.959276713,http://www.wild-scotland.org.uk/wp-content/uploads/2011/05/Hoody-and-sea-eagle.jpg,http://www.wild-scotland.org.uk/2011/11/photographers-found-guilty-of-rare-eagle-disturbance-on-mull/,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",26,16118
6164,Ben Locke,"{""latitude"":56.31989190106876,""longitude"":-6.285723777343719}",Emailed mail@benlocke.co.uk for location in western Scotland - replied with Mull,Hooded crow,Adult,yes,,Scotland,56.3198919,-6.285723777,http://4.bp.blogspot.com/-X7JPy7VeRBU/VB7vpyx3g7I/AAAAAAAARio/wlN1B0CZKWE/s1600/IMG_63382.jpg,http://www.wildinbritain.com/2014_09_01_archive.html,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",27,16119
6165,Arthur Grosset,"{""latitude"":60.61424542006515,""longitude"":-0.8669674074096747}",Location in Scotland from tags on website,Hooded crow,Adult,yes,,Scotland,60.61424542,-0.866967407,http://www.arthurgrosset.com/europebirds/photos/corcorvix10377.jpg,http://www.arthurgrosset.com/europebirds/hoodedcrow.html,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",28,16120
6166,John MacTavish,"{""latitude"":56.502797178129065,""longitude"":-5.435341433593749}",Emailed John	info@john-mactavish.co.uk,Hooded crow,Adult,,,Scotland,56.50279718,-5.435341434,http://c8.alamy.com/comp/AW529Y/hooded-crow-on-a-pebble-beach-in-scotland-AW529Y.jpg,http://www.alamy.com/stock-photo-hooded-crow-on-a-pebble-beach-in-scotland-16467926.html,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",29,16121
6167,Helen M. Bushe,"{""latitude"":56.001936724719535,""longitude"":-4.729943117492667}",Location in Scotland from https://www.flickr.com/photos/mistyblue17/5390934368/in/pool-1603025@N22/,Hooded crow,Adult,yes,,Scotland,56.00193672,-4.729943117,http://www.bbc.co.uk/staticarchive/5928092a99b8f2302f4c4c6060164a25ce5d0991.jpg,http://www.bbc.co.uk/blogs/natureuk/2011/10/autumnwatch-unsprung-round-up.shtml,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",30,16122
6168,Harold Stiver,"{""latitude"":56.09042939378123,""longitude"":-4.61425803710938}",Emailed hstiver@gmail.com for location in Scotland,Hooded crow,,,,Scotland,56.09042939,-4.614258037,http://www.west-highland-way.co.uk/control/customer_images/EC935D5B-FDD4-4FB5-B594-6BF926B9E63B/whw_gallery_pics/wildlife/HoodedCrow.jpg,http://www.west-highland-way.co.uk/birds_subpage.asp?inst=13&id=653,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",31,16123
6169,The Quest,"{""latitude"":56.41126209695876,""longitude"":-5.4773614444579835}",Location in Scotland from blog on website,Hooded crow,Adult,yes,,Scotland,56.4112621,-5.477361444,http://3.bp.blogspot.com/-9olSi-uQXbw/T769oMOrQsI/AAAAAAAAAKM/5DvCbE9EmzI/s1600/Hooded+Crow+Shrink.jpg,http://thenaturequest.blogspot.com/2012/05/scotland-day-3.html,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",32,16124
6170,L. B. Tettenborn,"{""latitude"":53.552848,""longitude"":9.974438999999961}","""Rabenkr蘝he""; Location in Germany from http://commons.wikimedia.org/wiki/File:Kr蘝he_65%28loz%29.JPG",Carrion crow,Adult,yes,,Germany,53.552848,9.974439,"http://carolinabirds.org/Images4LG/Crow,_Carrion_L_B_Tettenborn.jpg",http://carolinabirds.org/HTML/EU_Corvidae_Crow.htm,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",33,16125
6171,Dick Daniels,"{""latitude"":55.63833022352573,""longitude"":-4.777825074560496}",Emailed Dick - replied with location in Scotland,Carrion crow,Adult,yes,,Scotland,55.63833022,-4.777825075,"http://carolinabirds.org/Daniels/GreatBritain/Photos/crow, carrion 05-26 SCOT.jpg",http://carolinabirds.org/HTML/EU_Corvidae_Crow.htm,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",34,16126
6172,Neil McMahon,"{""latitude"":56.7166667,""longitude"":-6}",Location in Scotland from blog http://northamptonshirebirding.blogspot.com/search?q=hooded+crow,Hooded crow,Adult,yes,,Scotland,56.7166667,-6,http://1.bp.blogspot.com/-8c3DIaxGqfQ/UpzgX3JHS6I/AAAAAAAAG6Y/9HKbBljKjuo/s1600/Scotland+Day+5+099+Hooded+Crow.jpg,http://northamptonshirebirding.blogspot.com/2015/02/ruddy-duck-no-longer.html,Scotland - Hooded,"""Hooded crow"" OR ""Corvus cornix"" AND ""Scotland""",35,16127
6173,David on Flickr,"{""latitude"":57.1845167,""longitude"":-2.186464200000046}",Location in Scotland from https://www.flickr.com/photos/18030640@N06/3800340019/in/photostream/,Carrion crow,Adult,yes,,Scotland,57.1845167,-2.1864642,http://farm4.static.flickr.com/3472/3800340019_f67dbf75ee_t.jpg,"http://fiveprime.org/flickr_hvmnd.cgi?method=GET&page=11&photo_number=50&tag_mode=all&search_type=Tags&sorting=Interestingness&photo_type=100&search_domain=Tags&sort=Interestingness&textinput=carrion,crow",Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",13,16505
6174,Ray Wilson,"{""latitude"":52.1430868,""longitude"":-3.3736820999999964}",Location in Wales from website,Carrion crow,Adult,no,,England,52.1430868,-3.3736821,http://www.raywilsonbirdphotography.co.uk/Diary/Images/2006/October/JS8Q5855-Carrion-Crow.jpg,http://www.raywilsonbirdphotography.co.uk/Galleries/Birds/Passerines/Corvidae/Carrion Crow.html,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",14,16506
6175,Richard Burkmar,,Emailed Wild about Gardens contactus@wildaboutgardens.org.uk,Carrion crow,Adult,,,,,,http://www.wildaboutgardens.org.uk/img/wildlife/birds/large/carrion-crow.jpg,http://www.wildaboutgardens.org.uk/wildlife/birds/carrion-crow.aspx,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",15,16507
6176,Barry Farquharson,"{""latitude"":56.46401973047691,""longitude"":-2.8694841851806814}",Location in Scotland from website,Carrion crow,Adult,yes,,Scotland,56.46401973,-2.869484185,http://farm7.static.flickr.com/6040/6318092110_63cc22fcd1_s.jpg,"http://fiveprime.org/flickr_hvmnd.cgi?method=GET&page=8&photo_number=50&tag_mode=all&search_type=Tags&sorting=Interestingness&photo_type=75&noform=t&search_domain=Tags&sort=Interestingness&textinput=carrion,crow",Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",16,16508
6177,Unknown,"{""latitude"":50.53022899130386,""longitude"":-3.8579956796875194}",Emailed RSPB on website - replied with location in Eng,Carrion crow,Adult,no,,England,50.53022899,-3.85799568,"http://www.rspb.org.uk/Images/1041892_tcm9-289285.jpg?width=1170&crop=(0,210,4370,2030)",http://www.rspb.org.uk/discoverandenjoynature/discoverandlearn/birdguide/name/c/carrioncrow/,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",17,16509
6178,Barry Farquharson,"{""latitude"":56.465546693823214,""longitude"":-2.8700409523926282}",Location in Scotland from https://www.flickr.com/photos/93995449@N00/8663148069,Carrion crow,Adult,yes,,Scotland,56.46554669,-2.870040952,http://farm9.static.flickr.com/8256/8663148069_1df281af1e_s.jpg,"http://fiveprime.org/flickr_hvmnd.cgi?method=GET&sorting=Interestingness&photo_type=75&page=11&noform=t&search_domain=Tags&photo_number=50&sort=Interestingness&tag_mode=all&textinput=carrion,crow&search_type=Tags",Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",19,16511
6179,Craig Newton,"{""latitude"":55.93787168084105,""longitude"":-3.191013582031246}",Location in Scotland from website,Carrion crow,Adult,yes,,Scotland,55.93787168,-3.191013582,http://amazon.clikpic.com/craignewtonphoto/images/0I7A3803_thumb.jpg,http://www.craignewtonphotography.co.uk/section740188.html,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",20,16512
6180,Philip Price,"{""latitude"":56.64624266055382,""longitude"":-2.505003775708019}",Location in Scotland from website - on a beach in Angus,Carrion crow,Adult,yes,,Scotland,56.64624266,-2.505003776,http://fscomps.fotosearch.com/compc/UNS/UNS022/u13376957.jpg,http://www.fotosearch.com/UNS022/u13376957/,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",21,16513
6181,Soebe,"{""latitude"":59.861019,""longitude"":17.632753999999977}",Location in Sweden (Svenska) from,Hooded crow,Adult,no,,Sweden,59.861019,17.632754,http://upload.wikimedia.org/wikipedia/commons/7/7f/Corvus_corone_cornix_0379.jpg,http://en.wikipedia.org/wiki/Fauna_of_Scotland,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",22,16514
6182,Alan Williams,"{""latitude"":52.163117,""longitude"":-4.06842800000004}",Location in Wales from http://www.photoshot.com/search.jsp?submited=1&&&page=search.jsp&no_providers=1&no_orientation=1&no_extras_options=1&sorting=sort_rel&h_cid=&p_cid%5B0%5D=&al=1&srcIn=&from_date=&to_date=&keywords=%22carrion+crow%22&x=0&y=0&search_method=1&isid%5B%5D=4&cid%5B0%5D=ALL_C_ED&isid%5B%5D=5&isid%5B%5D=6&cid%5B1%5D=85&rnd=RzwRvjKc&100&pos=200,Carrion crow,Adult,no,,Wales,52.163117,-4.068428,http://cdn2.arkive.org/media/E7/E7CF2EAC-188F-432D-8471-E40064975DD7/Presentation.Large/Carrion-crow-calling.jpg,http://www.arkive.org/carrion-crow/corvus-corone/image-A22637.html,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",23,16515
6183,Unknown,"{""latitude"":57.131250393346846,""longitude"":-3.7448994687499635}",Location in Scotland from website - Speyside,Carrion crow,Adult,yes,,Scotland,57.13125039,-3.744899469,http://img1.photographersdirect.com/img/16016/wm/pd2366856.jpg,http://www.photographersdirect.com/buyers/stockphoto.asp?imageid=2366856,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",24,16516
6184,Manfred Danegger,,Already emailed photoshot.com re. Manfred,Carrion crow,,,,,,,http://cdn2.arkive.org/media/B1/B122711A-9A79-4B3F-9E33-3F41E73478D7/Presentation.Large/Carrion-crow-landing.jpg,http://www.arkive.org/carrion-crow/corvus-corone/image-A18730.html,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",25,16517
6185,Fred and Sarah,"{""latitude"":56.90784499999999,""longitude"":-6.161014000000023}",Location in Scotland from blog on website,Hooded crow,Adult,yes,,Scotland,56.907845,-6.161014,http://1.bp.blogspot.com/-MpGwrJOZxK0/TnjsvNW-bbI/AAAAAAAABgM/_RmXCeln0sM/s1600/Img_7034ee-sjl.jpg,http://fredandsarah.blogspot.com/2011_09_01_archive.html,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",26,16518
6186,The Otter Side,"{""latitude"":60.75834199999999,""longitude"":-0.8588439999999764}","Location in Scotland from website - Baltasound, Unst",Hooded crow,Adult,yes,,Scotland,60.758342,-0.858844,http://otterside.com/spring2004/crow_hooded-1001.jpg,http://otterside.com/spring2004/index.htm,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",27,16519
6187,NHPA/Photoshot,"{""latitude"":56.438125702477144,""longitude"":-5.916704691015639}",Location in Scotland from website,Hooded crow,Adult,yes,,Scotland,56.4381257,-5.916704691,https://cdn.superstock.com/4138/Thumb/4138-20001120.jpg,https://www.superstock.com/stock-photography/crow,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",28,16520
6188,Rampant Scotland,"{""latitude"":55.872859,""longitude"":-4.069937999999979}",Location in Scotland from website,Carrion crow,Adult,yes,,Scotland,55.872859,-4.069938,http://www.rampantscotland.com/birds/graphics/crow_drumpellier01199.jpg,http://www.rampantscotland.com/birds/birds14.htm,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",30,16522
6189,Charlie Kirkpatrick,"{""latitude"":55.46537667670572,""longitude"":-4.631153105834983}",Location in Scotland from website,Carrion crow,Adult,yes,,Scotland,55.46537668,-4.631153106,https://c1.staticflickr.com/9/8229/8518430649_846829c53b_b.jpg,https://www.flickr.com/photos/udaloy/8518430649/,Scotland - Carrion,"""Carrion crow"" OR ""Corvus corone"" AND ""Scotland""",31,16523
