survey_id,Comments,Subspecies,Age,Sex,Photographer,Location,Colour Morph,Image Usable?,state,latitude,longitude,direct_link,visible_link,search_name,search_query,search_result_rank,search_result_id
3644,Emailed info@adirondackwildlife.org for exact location in YNP - waiting for Alex Hall to reply,U.a. cinnamonum,Adult,,Alex Hall,"{""latitude"":44.86177615320997,""longitude"":-110.62690714843751}",Black,yes,Wyoming,44.86177615,-110.6269071,http://www.adirondackwildlife.org/YS-Alex-May2013-black-bear-3.JPG,,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",15,3944
3645,Emailed photographer on website for exact location in YNP - replied with co-ordinates,U.a. cinnamonum,Adult,,Steve Perry,"{""latitude"":44.9219722,""longitude"":-110.42924299999999}",Black,yes,Wyoming,44.9219722,-110.429243,http://www.backcountrygallery.com/wp-content/uploads/2011/03/Blackbear-headshot.jpg,http://www.backcountrygallery.com/photos/black-bear-stare-down/,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",16,3945
3646,Duplicate image,,,,Ken Thomas,"{""latitude"":36.111239,""longitude"":-81.81149909999999}",Black,no,North Carolina,36.111239,-81.8114991,http://upload.wikimedia.org/wikipedia/commons/7/76/Black_Bear-27527.jpg,http://site.ycbearhunters.org/hunting/bear-facts/black-bear,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",17,3946
3647,Location from www.flickr.com/photos/32541690@N02/3200777822,U.a. pugnax,Adult,,Alan Vernon,"{""latitude"":55.921236397987194,""longitude"":-130.04347284667972}",Black,yes,Alaska,55.9212364,-130.0434728,http://upload.wikimedia.org/wikipedia/commons/2/26/Black_Bear_.........2.jpg,http://en.wikipedia.org/wiki/American_black_bear,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",24,4187
3648,Wrong species,,,,,,,no,,,,http://cdn1.arkive.org/media/6B/6BBEC77A-9577-40D7-9880-2CDB46133ACF/Presentation.Large/Infant-Asiatic-black-bear-with-tongue-out.jpg,http://www.arkive.org/asiatic-black-bear/ursus-thibetanus/,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",25,4188
3649,Duplicate image; Not in W North America; Female with 2 juveniles (black); delete - same individual as 2 other photos by Sam Jamke,U.a. americanus,Adult,Female,Sam Jamke,"{""latitude"":44.292176434558314,""longitude"":-71.28088310861204}",Black,no,New Hampshire,44.29217643,-71.28088311,"http://amc-nh.org/resources/guides/mammals/images/Ursus%20americanus_North%20American%20black%20bear_primary_1_Mt.%20Washington%20Auto%20Rd.,%20NH_20090613_Sam%20Jamke_IMG2689%20.jpg",http://amc-nh.org/resources/guides/mammals/,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",26,4189
3650,Duplicate individual,U.a. kermodei,Adult,,Unknown,"{""latitude"":53.389625,""longitude"":-128.93043999999998}",Black,no,British Columbia,53.389625,-128.93044,http://www.mothershipadventures.com/photo2011/slides/Great%20Bear%20Rainforest%20black%20bear%203.jpg,http://www.mothershipadventures.com/photo2011/slides/Great Bear Rainforest black bear 3.html,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",28,4191
3651,Duplicate image,,,,,,,no,,,,http://wolvesonceroamed.files.wordpress.com/2013/04/american-black-bear.jpg,http://wolvesonceroamed.com/tag/american-black-bear/,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",29,4192
3652,Not in W North America; Captive bear: Emailed photographer on website www.aturgeon.com - gave name of Ecomusem; emailed for original location (most likely from Saint Lawrence Valley),U.a. americanus,Adult,,Alain Turgeon,"{""latitude"":45.033885052092465,""longitude"":-74.73209229101565}",Black,no,Ontario,45.03388505,-74.73209229,http://huntingtop10.com/Hunting-Game-Types/Black_Bear-Hunting-Top-10-48960.jpg,http://huntingtop10.com/Hunting/Black-Bear-Hunting/,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",31,4194
3653,Not in W North America; subspecies U.a. floridanus; Location found on website,U.a. americanus,Adult,,Mike Goss,"{""latitude"":29.0427592,""longitude"":-81.92925049999997}",Black,no,Florida,29.0427592,-81.9292505,http://storage.wildobs.com/Yakin669/photos/DSC_0051.JPG,http://wildobs.com/Yakin669/3895-Florida-Black-Bear,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",35,4198
3654,Cannot find original photographer,,,,,,Black,no,,,,http://jeweell.com/data_images/out/6/1146023-american-black-bear.jpg,http://carnivoraforum.com/topic/10072695/1/,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",36,4199
3655,Emailed photographer info@matthewmaran.com - replied with location,U.a. vancouveri,Adult,,Matthew Maran,"{""latitude"":49.151299,""longitude"":-125.90059500000001}",Black,yes,British Columbia,49.151299,-125.900595,http://cdn1.arkive.org/media/7F/7F4253DE-7F37-49DE-91B3-D1F95E5C5D33/Presentation.Large/American-black-bear-scratching-head.jpg,http://www.arkive.org/american-black-bear/ursus-americanus/image-G58018.html,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",38,4201
3656,"Originally from Alaska, found in 1991, now in Oregon zoo; emailed hova.najarian@oregonzoo.org, michael.durham@oregonzoo.org for original location - replied",U.a. pugnax,Adult,,Unknown,"{""latitude"":56.81287585458425,""longitude"":-132.96096293337405}",Black,yes,Alaska,56.81287585,-132.9609629,http://www.oregonzoo.org/sites/default/files/gallery/images/H_orig_american_black_bear_gal.jpg,http://www.oregonzoo.org/gallery/category/bears?page%3D5%26type%3DAll%26items_per_page%3D12,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",39,4202
3657,Location found in tags on http://www.shutterstock.com/pic-108488237/stock-photo-large-black-bear-treed-in-a-large-pine-tree.html?src=PS5DwrRy6S3EBRIUs8iKRA-1-1,U.a. altifrontalis,Adult,,Tom Reichner,"{""latitude"":48.19988009999999,""longitude"":-118.86780039999996}",Black,yes,Washington,48.1998801,-118.8678004,http://www.ndow.org/uploadedImages/ndoworg/Content/public_images/Taxonomy_Images/Black-Bear1.jpg,http://www.ndow.org/Species/Furbearer/Black_Bear/,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",40,4203
3658,Cannot find original photographer's email,,,,Michelle Buntin,,,no,,,,http://upload.wikimedia.org/wikipedia/commons/0/05/Bear_black_ursus_americanus.jpg,http://commons.wikimedia.org/wiki/File:Bear_black_ursus_americanus.jpg,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",42,4205
3659,Captive non-black female and cub (black); emailed photographer Norbert Rosing to confirm - hasn't replied,U.a. cinnamonum,Adult,Female,Norbert Rosing,"{""latitude"":44.427963,""longitude"":-110.58845500000001}",Non-black,no,Wyoming,44.427963,-110.588455,http://www.curranblackbearfestival.com/files/QuickSiteImages/black_bear_mom_cub.jpg,http://www.curranblackbearfestival.com/,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",43,4206
3660,Black female with juvenile (white) - added separately; juvenile later in captivity at Assiniboine Park Zoo - Location from www.snopes.com/photos/animals/whitecub.asp,U.a. americanus,Adult,Female,Unknown,"{""latitude"":53.114300827716264,""longitude"":-99.80419493115232}",Black,yes,Manitoba,53.11430083,-99.80419493,http://www.bear.org/website/images/stories/images/images-new/black_bear_with_white_cub.jpg,http://www.bear.org/website/bear-pages/black-bear/basic-bear-facts/100-maskwa-the-little-white-cub.html,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",44,4207
3661,Not in W North America; LHS juvenile - 2 juveniles added separately; Emailed Shenandoah National Park - they say Great Smoky Mountain,U.a. americanus,Juvenile,,National Park Service,"{""latitude"":35.611931,""longitude"":-83.54965700000002}",Black,no,Tennessee,35.611931,-83.549657,http://www.nps.gov/shen/learn/nature/images/bear_cubs_285.jpg,http://www.nps.gov/shen/learn/nature/black-bear.htm,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",45,4208
3662,Wrong species,,,,,,,no,,,,http://upload.wikimedia.org/wikipedia/commons/e/e3/Asiatic_Black_Bear_(6964668080).jpg,http://commons.wikimedia.org/wiki/File:Asiatic_Black_Bear_(6964668080).jpg,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",46,4209
3663,Not in W North America; Captive bear at Garlyn zoo - captive bred; emailed zoo for confirmation - Fuzzy (deceased),U.a. americanus,Adult,,Unknown,"{""latitude"":46.088202,""longitude"":-85.31771000000003}",Black,no,Michigan,46.088202,-85.31771,http://www.garlynzoo.com/images/black-bear-face.jpg,http://www.garlynzoo.com/black%2520bear.php,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",47,4210
3664,Captive bear,,Adult,,Gshay,,Black,no,,,,http://static.gotpetsonline.com/pictures-gallery/exotic-pictures-breeders-babies/black-bear-pictures-breeders-babies/pictures/black-bear-0009.jpg,http://www.gotpetsonline.com/pictures/gallery/exotic-animals/bears/black-bears/black-bear-0009/,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",48,4211
3665,Location on website,U.a. vancouveri,Adult,,Rolf Hicker,"{""latitude"":50.50372164384039,""longitude"":-127.51482028750002}",Black,yes,British Columbia,50.50372164,-127.5148203,http://www.travel-vancouver-island.com/images/500/ursus-americanus_192.jpg,http://www.travel-vancouver-island.com/detail/ursus-americanus-black-bear-picture-181.htm,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",49,4212
3666,Location from website,U.a. kermodei,Adult,,Unknown,"{""latitude"":53.389625,""longitude"":-128.93043999999998}",Black,yes,British Columbia,53.389625,-128.93044,http://www.mothershipadventures.com/photo2011/slides/Great%20Bear%20Rainforest%20black%20bear%201.jpg,http://www.mothershipadventures.com/photo2011/slides/Great Bear Rainforest black bear 1.html,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",50,4213
3667,Emailed photographer kevin@visceral-image.com - hasn't replied,,Adult,,Kevin DiOssi,,Black,no,,,,http://media.outsideonline.com/images/black-bear-attack-survival_fe.jpg,http://www.outsideonline.com/outdoor-adventure/camping/Surviving-a-Black-Bear-Attack.html,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",51,4214
3668,Not in W North America; Photos on website show 3 cubs (black) with black female - several photos,U.a. americanus,Juvenile,,Brian Shults,"{""latitude"":35.611931,""longitude"":-83.54965700000002}",Black,no,Tennessee,35.611931,-83.549657,http://i.dailymail.co.uk/i/pix/2012/06/20/article-0-13B26F60000005DC-22_964x771.jpg,http://www.dailymail.co.uk/news/article-2162010/Whos-bringing-picnic-Black-bear-cubs-WERE-surprise-met-photographer-The-Great-Smoky-Mountains-national-park.html,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",52,4215
3669,Not a photograph,,,,,,,no,,,,http://www.bearbiology.com/uploads/pics/Black-Bear-Large_01.jpg,http://www.bearbiology.com/index.php?id%3D37,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",53,4216
3670,Captive bear,,Adult,,,,Black,no,,,,http://gotpetsonline.com/pictures-gallery/exotic-pictures-breeders-babies/black-bear-pictures-breeders-babies/pictures/black-bear-0012.jpg,http://www.gotpetsonline.com/black-bear/bear-black-florida/new-mexico-black-bear.html,Common and Scientific Name,"""black bear"" OR ""Ursus americanus""",54,4217
